Unnamed: 0,融券賣出成交,Unnamed: 2,借券賣出成交,Unnamed: 4
證券名稱,數量,金額,數量,金額
1341   富林-KY         ,0,0,0,0
1342   八貫            ,0,0,13,"1,084,100"
1402   遠東新          ,0,0,776,"21,886,400"
1409   新纖            ,7,"108,550",118,"1,817,800"
1410   南染            ,0,0,0,0
1413   宏洲            ,0,0,0,0
1414   東和            ,0,0,0,0
1416   廣豐            ,0,0,0,0
1417   嘉裕            ,0,0,0,0
1418   東華            ,0,0,0,0
1419   新紡            ,8,"527,800",12,"806,900"
1423   利華            ,0,0,0,0
1432   大魯閣          ,0,0,0,0
1434   福懋            ,0,0,2,"31,250"
1435   中福            ,0,0,0,0
1436   華友聯          ,0,0,2,"120,800"
1437   勤益控          ,0,0,1,"31,850"
1438   三地開發        ,0,0,0,0
1439   雋揚            ,0,0,0,0
1440   南紡            ,2,"27,200",10,"136,950"
1441   大東            ,0,0,0,0
1442   名軒            ,0,0,10,"310,650"
1443   立益物流        ,0,0,0,0
1444   力麗            ,2,"12,090",61,"371,870"
1445   大宇            ,0,0,1,"13,700"
1446   宏和            ,1,"17,500",2,"35,300"
1447   力鵬            ,0,0,0,0
1449   佳和            ,0,0,83,"830,280"
1451   年興            ,0,0,3,"51,450"
1452   宏益            ,0,0,0,0
1453   大將            ,1,"12,100",0,0
1454   台富            ,0,0,0,0
1455   集盛            ,0,0,0,0
1456   怡華            ,0,0,0,0
1457   宜進            ,0,0,1,"15,950"
1459   聯發            ,0,0,0,0
1460   宏遠            ,0,0,0,0
1463   強盛新          ,0,0,1,"18,700"
1464   得力            ,0,0,0,0
1465   偉全            ,0,0,1,"12,800"
1466   聚隆            ,2,"28,250",0,0
1467   南緯            ,0,0,0,0
1468   昶和            ,0,0,0,0
1470   大統新創        ,0,0,0,0
1471   首利            ,0,0,0,0
1472   三洋實業        ,0,0,0,0
1473   台南            ,0,0,13,"315,050"
1474   弘裕            ,13,"153,400",0,0
1475   業旺            ,0,0,0,0
1476   儒鴻            ,0,0,55,"23,233,500"
1477   聚陽            ,1,"295,000",373,"111,528,500"
1503   士電            ,14,"2,308,500","1,014","167,813,500"
1504   東元            ,228,"21,168,600","1,580","146,758,800"
1506   正道            ,0,0,0,0
1512   瑞利            ,0,0,0,0
1513   中興電          ,38,"5,732,000","1,728","258,878,500"
1514   亞力            ,9,"858,700","1,135","111,182,700"
1515   力山            ,2,"54,600",16,"435,050"
1516   川飛            ,0,0,0,0
1517   利奇            ,10,"112,000",3,"33,000"
1519   華城            ,46,"33,684,000",759,"556,745,000"
1521   大億            ,0,0,0,0
1522   堤維西          ,0,0,39,"1,862,650"
1524   耿鼎            ,0,0,21,"618,900"
1525   江申            ,0,0,0,0
1526   日馳            ,0,0,0,0
1527   鑽全            ,0,0,3,"97,150"
1528   恩德            ,18,"252,500",118,"1,639,500"
1529   樂事綠能        ,0,0,0,0
1530   亞崴            ,0,0,1,"26,750"
1531   高林股          ,0,0,0,0
1532   勤美            ,0,0,1,"26,600"
1533   車王電          ,0,0,1,"31,200"
1535   中宇            ,0,0,4,"218,800"
1536   和大            ,5,"280,400",187,"10,436,900"
1537   廣隆            ,0,0,3,"364,500"
1538   正峰            ,0,0,0,0
1539   巨庭            ,0,0,0,0
1540   喬福            ,2,"41,900",0,0
1541   錩泰            ,0,0,0,0
1558   伸興            ,0,0,2,"196,400"
1560   中砂            ,10,"3,027,500",152,"45,912,000"
1563   巧新            ,0,0,1,"41,050"
1568   倉佑            ,0,0,0,0
1582   信錦            ,0,0,39,"2,539,400"
1583   程泰            ,0,0,0,0
1587   吉茂            ,7,"295,900",17,"689,950"
1589   永冠-KY         ,0,0,116,"1,955,800"
1590   亞德客-KY       ,0,0,8,"7,044,000"
1597   直得            ,0,0,9,"631,300"
1598   岱宇            ,0,0,34,"722,150"
1603   華電            ,0,0,0,0
1604   聲寶            ,0,0,7,"170,500"
1605   華新            ,181,"5,184,900","2,745","78,763,700"
1608   華榮            ,17,"583,800",486,"16,776,700"
1609   大亞            ,10,"378,500",813,"30,824,450"
1611   中電            ,1,"12,000",28,"337,400"
1612   宏泰            ,0,0,157,"5,474,800"
1614   三洋電          ,0,0,2,"67,900"
1615   大山            ,0,0,1,"47,350"
1616   億泰            ,33,"949,450",100,"2,906,450"
1617   榮星            ,0,0,5,"71,850"
1618   合機            ,21,"850,600",121,"4,931,800"
1626   艾美特-KY       ,0,0,0,0
1702   南僑            ,0,0,108,"4,041,200"
1707   葡萄王          ,0,0,0,0
1708   東鹼            ,1,"31,550",10,"313,050"
1709   和益            ,0,0,8,"131,500"
1710   東聯            ,0,0,123,"1,449,400"
