證券名稱,數量,金額,數量.1,金額.1,Unnamed: 5
2433   互盛電          ,0,0,0,0,
2434   統懋            ,0,0,0,0,
2436   偉詮電          ,111,"5,321,600",81,"3,931,700",
2439   美律            ,43,"6,420,500",186,"27,730,500",
2440   太空梭          ,0,0,0,0,
2441   超豐            ,0,0,7,"390,800",
2442   新美齊          ,18,"200,150",232,"2,610,750",
2443   昶虹            ,0,0,0,0,
2444   兆勁            ,0,0,0,0,
2449   京元電子        ,22,"768,500","1,325","46,579,700",
2450   神腦            ,4,"147,000",18,"687,350",
2451   創見            ,0,0,44,"2,849,000",
2453   凌群            ,0,0,0,0,
2454   聯發科          ,14,"11,109,000",78,"62,005,000",
2455   全新            ,20,"2,360,500",184,"21,905,000",
2456   奇力新          ,53,"5,685,000",359,"39,388,500",
2457   飛宏            ,73,"1,169,650",597,"9,713,100",
2458   義隆            ,136,"19,852,000",54,"7,825,500",
2459   敦吉            ,0,0,1,"46,200",
2460   建通            ,3,"57,200",61,"1,133,500",
2461   光群雷          ,10,"185,000",17,"315,700",
2462   良得電          ,0,0,0,0,
2464   盟立            ,13,"595,050",142,"6,561,250",
2465   麗臺            ,0,0,0,0,
2466   冠西電          ,0,0,0,0,
2467   志聖            ,27,"1,059,350",24,"917,750",
2468   華經            ,0,0,5,"67,500",
2471   資通            ,0,0,1,"26,250",
2472   立隆電          ,9,"581,300",44,"2,821,600",
2474   可成            ,26,"5,397,000",23,"4,778,500",
2476   鉅祥            ,0,0,0,0,
2477   美隆電          ,8,"275,400",22,"776,300",
2478   大毅            ,24,"2,080,900",702,"61,277,100",
2480   敦陽科          ,0,0,0,0,
2481   強茂            ,101,"5,400,900",25,"1,379,600",
2482   連宇            ,0,0,0,0,
2483   百容            ,0,0,0,0,
2484   希華            ,3,"70,850",5,"116,450",
2485   兆赫            ,5,"98,550",21,"412,800",
2486   一詮            ,23,"458,000",80,"1,597,100",
2488   漢平            ,0,0,1,"30,750",
