證券名稱,數量,金額,數量.1,金額.1,Unnamed: 5
1234   黑松            ,0,0,7,"261,800",
1235   興泰            ,0,0,0,0,
1236   宏亞            ,0,0,0,0,
1256   鮮活果汁-KY     ,0,0,0,0,
1301   台塑            ,80,"3,447,500",348,"14,963,150",
1303   南亞            ,"1,489","86,297,300","16,602","966,934,900",
1304   台聚            ,3,"33,000",221,"2,458,250",
1305   華夏            ,0,0,67,"772,200",
1307   三芳            ,3,"98,650",0,0,
1308   亞聚            ,0,0,52,"690,850",
1309   台達化          ,0,0,8,"92,000",
1310   台苯            ,5,"44,850",4,"35,470",
1312   國喬            ,5,"51,400",846,"8,739,450",
1313   聯成            ,0,0,0,0,
1314   中石化          ,49,"435,050","1,056","9,346,700",
1315   達新            ,0,0,0,0,
1316   上曜            ,4,"61,000",18,"273,350",
1319   東陽            ,11,"1,114,800",71,"7,086,100",
1321   大洋            ,0,0,3,"107,700",
1323   永裕            ,0,0,0,0,
1324   地球            ,0,0,0,0,
1325   恆大            ,1,"31,450",1,"31,400",
1326   台化            ,47,"1,604,100",247,"8,398,400",
1337   再生-KY         ,0,0,0,0,
1338   廣華-KY         ,0,0,0,0,
1339   昭輝            ,0,0,7,"326,350",
1340   勝悅-KY         ,0,0,25,"178,890",
1341   富林-KY         ,0,0,0,0,
1342   八貫            ,0,0,15,"1,275,700",
1402   遠東新          ,0,0,"1,045","29,428,850",
1409   新纖            ,27,"424,450",682,"10,874,000",
1410   南染            ,0,0,0,0,
1413   宏洲            ,0,0,0,0,
1414   東和            ,0,0,0,0,
1416   廣豐            ,0,0,9,"105,350",
1417   嘉裕            ,0,0,0,0,
1418   東華            ,0,0,0,0,
1419   新紡            ,0,0,15,"958,500",
1423   利華            ,0,0,1,"39,500",
1432   大魯閣          ,0,0,0,0,
1434   福懋            ,0,0,18,"291,600",
1435   中福            ,0,0,0,0,
1436   華友聯          ,5,"309,700",2,"123,600",
1437   勤益控          ,0,0,0,0,
1438   三地開發        ,0,0,0,0,
1439   雋揚            ,0,0,0,0,
1440   南紡            ,2,"28,500",33,"474,900",
1441   大東            ,0,0,0,0,
1442   名軒            ,1,"33,100",86,"2,805,450",
1443   立益物流        ,0,0,0,0,
1444   力麗            ,40,"248,000",42,"262,830",
1445   大宇            ,0,0,0,0,
1446   宏和            ,0,0,7,"128,900",
1447   力鵬            ,0,0,0,0,
1449   佳和            ,0,0,23,"240,050",
1451   年興            ,0,0,0,0,
1452   宏益            ,0,0,1,"11,950",
1453   大將            ,0,0,0,0,
1454   台富            ,0,0,0,0,
1455   集盛            ,0,0,4,"32,170",
1456   怡華            ,0,0,0,0,
1457   宜進            ,0,0,0,0,
1459   聯發            ,0,0,0,0,
1460   宏遠            ,0,0,0,0,
1463   強盛新          ,0,0,0,0,
1464   得力            ,0,0,0,0,
1465   偉全            ,0,0,0,0,
1466   聚隆            ,7,"102,200",11,"159,550",
1467   南緯            ,0,0,0,0,
1468   昶和            ,0,0,0,0,
1470   大統新創        ,0,0,0,0,
1471   首利            ,0,0,0,0,
1472   三洋實業        ,0,0,1,"90,700",
1473   台南            ,1,"24,950",13,"324,250",
1474   弘裕            ,10,"118,500",0,0,
1475   業旺            ,0,0,0,0,
1476   儒鴻            ,10,"4,549,000",22,"9,946,000",
1477   聚陽            ,0,0,16,"4,962,500",
1503   士電            ,11,"1,850,000",563,"94,962,500",
1504   東元            ,423,"41,214,400","1,638","159,739,600",
1506   正道            ,0,0,0,0,
1512   瑞利            ,0,0,0,0,
1513   中興電          ,9,"1,306,000",79,"11,491,000",
1514   亞力            ,2,"195,900",398,"39,062,700",
1515   力山            ,2,"58,100",8,"229,400",
1516   川飛            ,0,0,0,0,
1517   利奇            ,0,0,64,"759,300",
1519   華城            ,2,"1,471,000",26,"19,149,000",
1521   大億            ,0,0,1,"24,750",
1522   堤維西          ,22,"1,063,350",22,"1,063,850",
1524   耿鼎            ,0,0,12,"363,000",
1525   江申            ,0,0,0,0,
1526   日馳            ,0,0,1,"17,650",
1527   鑽全            ,0,0,0,0,
1528   恩德            ,37,"631,900",566,"9,293,850",
1529   樂事綠能        ,5,"98,000",6,"118,200",
1530   亞崴            ,0,0,0,0,
1531   高林股          ,0,0,0,0,
1532   勤美            ,0,0,2,"53,700",
1533   車王電          ,0,0,2,"65,800",
1535   中宇            ,0,0,0,0,
1536   和大            ,24,"1,381,800",144,"8,362,800",
1537   廣隆            ,0,0,0,0,
1538   正峰            ,0,0,0,0,
1539   巨庭            ,0,0,0,0,
1540   喬福            ,0,0,0,0,
1541   錩泰            ,0,0,0,0,
1558   伸興            ,0,0,2,"196,100",
1560   中砂            ,6,"1,890,500",72,"22,602,500",
1563   巧新            ,0,0,1,"43,450",
1568   倉佑            ,0,0,0,0,
1582   信錦            ,8,"536,900",74,"4,925,400",
1583   程泰            ,0,0,0,0,
1587   吉茂            ,1,"42,500",9,"382,850",
1589   永冠-KY         ,149,"2,649,150",20,"355,800",
1590   亞德客-KY       ,0,0,18,"17,323,000",
1597   直得            ,3,"216,300",3,"216,900",
1598   岱宇            ,8,"188,400",23,"541,650",
1603   華電            ,0,0,0,0,
1604   聲寶            ,0,0,1,"24,750",
1605   華新            ,71,"2,274,600","3,808","125,380,700",
1608   華榮            ,3,"107,850",78,"2,817,050",
1609   大亞            ,1,"39,200",712,"28,024,050",
1611   中電            ,0,0,8,"98,750",
1612   宏泰            ,1,"35,000",29,"1,024,950",
1614   三洋電          ,0,0,16,"542,550",
1615   大山            ,0,0,0,0,
1616   億泰            ,19,"572,150",113,"3,400,800",
1617   榮星            ,0,0,7,"104,950",
1618   合機            ,0,0,63,"2,678,450",
1626   艾美特-KY       ,0,0,0,0,
1702   南僑            ,0,0,96,"3,673,200",
1707   葡萄王          ,0,0,0,0,
1708   東鹼            ,2,"64,700",0,0,
1709   和益            ,0,0,1,"16,750",
1710   東聯            ,5,"62,250",188,"2,323,050",
1711   永光            ,0,0,178,"3,373,450",
1712   興農            ,0,0,0,0,
1713   國化            ,0,0,1,"44,750",
1714   和桐            ,0,0,34,"284,720",
1717   長興            ,10,"406,500",927,"37,533,000",
1718   中纖            ,0,0,35,"248,050",
1720   生達            ,0,0,0,0,
1721   三晃            ,0,0,0,0,
1722   台肥            ,0,0,265,"12,571,900",
1723   中碳            ,0,0,141,"11,250,600",
1725   元禎            ,0,0,0,0,
1726   永記            ,0,0,0,0,
1727   中華化          ,215,"8,644,850",11,"430,350",
1730   花仙子          ,0,0,2,"104,800",
1731   美吾華          ,0,0,0,0,
1732   毛寶            ,0,0,3,"86,100",
1733   五鼎            ,0,0,14,"432,150",
1734   杏輝            ,0,0,0,0,
1735   日勝化          ,0,0,0,0,
1736   喬山            ,3,"453,000",20,"3,001,500",
1737   臺鹽            ,0,0,0,0,
1752   南光            ,0,0,0,0,
1760   寶齡富錦        ,0,0,6,"399,200",
1762   中化生          ,0,0,1,"24,900",
1773   勝一            ,1,"138,000",99,"13,739,000",
1776   展宇            ,0,0,0,0,
1783   和康生          ,0,0,0,0,
1786   科妍            ,4,"306,500",36,"2,770,100",
1789   神隆            ,2,"34,700",13,"227,300",
1795   美時            ,0,0,80,"23,200,500",
1802   台玻            ,575,"19,965,700",475,"17,323,600",
1805   寶徠            ,0,0,9,"114,100",
1806   冠軍            ,0,0,27,"242,750",
1809   中釉            ,0,0,4,"76,450",
1810   和成            ,1,"17,050",5,"86,750",
1817   凱撒衛          ,0,0,0,0,
1903   士紙            ,0,0,2,"111,700",
1904   正隆            ,1,"18,900",4,"75,000",
