Unnamed: 0,融券賣出成交,Unnamed: 2,借券賣出成交,Unnamed: 4
證券名稱,數量,金額,數量,金額
1338   廣華-KY         ,0,0,1,"41,050"
1339   昭輝            ,0,0,1,"61,900"
1340   勝悅-KY         ,0,0,9,"100,400"
1341   富林-KY         ,0,0,0,0
1342   八貫            ,0,0,8,"935,500"
1402   遠東新          ,0,0,133,"4,160,150"
1409   新纖            ,0,0,2,"30,900"
1410   南染            ,0,0,0,0
1413   宏洲            ,0,0,0,0
1414   東和            ,0,0,0,0
1416   廣豐            ,0,0,0,0
1417   嘉裕            ,0,0,0,0
1418   東華            ,0,0,0,0
1419   新紡            ,0,0,0,0
1423   利華            ,0,0,0,0
1432   大魯閣          ,0,0,0,0
1434   福懋            ,1,"25,050",100,"2,504,850"
1435   中福            ,0,0,0,0
1436   華友聯          ,0,0,0,0
1437   勤益控          ,0,0,0,0
1438   三地開發        ,0,0,4,"140,450"
1439   雋揚            ,0,0,0,0
1440   南紡            ,0,0,37,"579,700"
1441   大東            ,0,0,0,0
1442   名軒            ,0,0,20,"741,650"
1443   立益物流        ,0,0,0,0
1444   力麗            ,0,0,2,"20,300"
1445   大宇            ,0,0,0,0
1446   宏和            ,0,0,9,"322,800"
1447   力鵬            ,0,0,0,0
1449   佳和            ,2,"44,150",8,"175,950"
1451   年興            ,0,0,0,0
1452   宏益            ,0,0,0,0
1453   大將            ,0,0,0,0
1454   台富            ,0,0,0,0
1455   集盛            ,0,0,25,"263,350"
1456   怡華            ,0,0,0,0
1457   宜進            ,0,0,0,0
1459   聯發            ,0,0,0,0
1460   宏遠            ,0,0,0,0
1463   強盛新          ,0,0,1,"17,700"
1464   得力            ,0,0,0,0
1465   偉全            ,0,0,0,0
1466   聚隆            ,2,"28,100",5,"69,850"
1467   南緯            ,0,0,0,0
1468   昶和            ,0,0,0,0
1470   大統新創        ,0,0,0,0
1471   首利            ,0,0,0,0
1472   三洋實業        ,0,0,0,0
1473   台南            ,0,0,1,"28,450"
1474   弘裕            ,0,0,0,0
