證券代號,證券名稱,買進股數,賣出股數,買賣超股數
2607  ,榮運            ,0,"41,000","-41,000"
2633  ,台灣高鐵        ,0,"39,760","-39,760"
9917  ,中保科          ,0,"37,000","-37,000"
2207  ,和泰車          ,122,"34,000","-33,878"
2520  ,冠德            ,0,"33,000","-33,000"
5284  ,jpp-KY          ,0,"30,000","-30,000"
6944  ,兆聯實業        ,0,"30,000","-30,000"
6446  ,藥華藥          ,0,"29,000","-29,000"
3592  ,瑞鼎            ,0,"27,000","-27,000"
2891C ,中信金丙特      ,0,"25,000","-25,000"
5434  ,崇越            ,"4,000","28,000","-24,000"
1215  ,卜蜂            ,0,"23,000","-23,000"
8422  ,可寧衛*         ,0,"22,000","-22,000"
4164  ,承業醫          ,0,"21,000","-21,000"
2515  ,中工            ,0,"19,000","-19,000"
6592A ,和潤企業甲特    ,"1,000","20,000","-19,000"
6592B ,和潤企業乙特    ,"1,000","20,000","-19,000"
9938  ,百和            ,0,"19,000","-19,000"
2855  ,統一證          ,0,"18,000","-18,000"
9910  ,豐泰            ,0,"17,069","-17,069"
1513  ,中興電          ,0,"15,200","-15,200"
3338  ,泰碩            ,0,"15,000","-15,000"
4766  ,南寶            ,0,"15,000","-15,000"
6670  ,復盛應用        ,0,"14,000","-14,000"
6415  ,矽力*-KY        ,"8,000","21,000","-13,000"
2458  ,義隆            ,0,"12,000","-12,000"
6605  ,帝寶            ,0,"12,000","-12,000"
6768  ,志強-KY         ,0,"12,000","-12,000"
2637  ,慧洋-KY         ,0,"11,000","-11,000"
9933  ,中鼎            ,0,"10,000","-10,000"
1560  ,中砂            ,0,"9,000","-9,000"
1609  ,大亞            ,0,"9,000","-9,000"
2103  ,台橡            ,0,"9,000","-9,000"
4919  ,新唐            ,0,"9,000","-9,000"
2897  ,王道銀行        ,0,"8,000","-8,000"
3376  ,新日興          ,0,"8,000","-8,000"
8926  ,台汽電          ,0,"8,000","-8,000"
2204  ,中華            ,0,"7,000","-7,000"
2362  ,藍天            ,0,"7,000","-7,000"
6592  ,和潤企業        ,0,"7,000","-7,000"
2467  ,志聖            ,0,"6,000","-6,000"
3008  ,大立光          ,"4,042","10,000","-5,958"
2812  ,台中銀          ,0,"5,934","-5,934"
3042  ,晶技            ,0,"5,000","-5,000"
6414  ,樺漢            ,0,"5,000","-5,000"
9907  ,統一實          ,0,"5,000","-5,000"
6409  ,旭隼            ,0,"4,032","-4,032"
3413  ,京鼎            ,0,"4,000","-4,000"
6139  ,亞翔            ,"5,000","9,000","-4,000"
6789  ,采鈺            ,"3,000","7,000","-4,000"
6906  ,現觀科          ,0,"4,000","-4,000"
8454  ,富邦媒          ,0,"3,158","-3,158"
1590  ,亞德客-KY       ,0,"3,000","-3,000"
2597  ,潤弘            ,0,"3,000","-3,000"
5269  ,祥碩            ,0,"3,000","-3,000"
6214  ,精誠            ,0,"3,000","-3,000"
8081  ,致新            ,0,"3,000","-3,000"
8996  ,高力            ,0,"3,000","-3,000"
9930  ,中聯資源        ,0,"3,000","-3,000"
1442  ,名軒            ,0,"2,000","-2,000"
1712  ,興農            ,0,"2,000","-2,000"
2441  ,超豐            ,0,"2,000","-2,000"
2850  ,新產            ,0,"2,000","-2,000"
4961  ,天鈺            ,0,"2,000","-2,000"
5515  ,建國            ,0,"2,000","-2,000"
6515  ,穎崴            ,0,"2,000","-2,000"
6531  ,愛普*           ,"3,000","5,000","-2,000"
9911  ,櫻花            ,0,"2,000","-2,000"
1707  ,葡萄王          ,0,"1,000","-1,000"
1723  ,中碳            ,0,"1,000","-1,000"
2348  ,海悅            ,0,"1,000","-1,000"
2480  ,敦陽科          ,0,"1,000","-1,000"
2707  ,晶華            ,0,"1,000","-1,000"
3022  ,威強電          ,0,"1,000","-1,000"
4536  ,拓凱            ,0,"1,000","-1,000"
6937  ,天虹            ,0,"1,000","-1,000"
8464  ,億豐            ,0,463,-463
2049  ,上銀            ,0,374,-374
3406  ,玉晶光          ,"4,000","4,000",0
3533  ,嘉澤            ,"2,000","2,000",0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
