證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
2316,楠梓電,26.45,3.78,110,7.85,0.6,111/3
2317,鴻海,102.50,5.07,110,9.73,0.98,111/3
2321,東訊,5.74,0.0,110,47.83,2.61,111/3
2323,中環,7.70,1.3,110,-,0.5,111/3
2324,仁寶,22.00,9.09,110,10.19,0.81,111/3
2327,國巨*,486.00,2.08,110,8.70,1.69,111/3
2328,廣宇,38.70,2.58,110,15.99,1.59,111/3
2329,華泰,18.45,5.42,110,7.75,1.45,111/3
2330,台積電,480.50,2.29,110,14.05,4.55,111/3
2331,精英,23.10,0.0,110,12.29,1.11,111/3
2332,友訊,15.05,1.99,110,35.83,1.02,111/3
2337,旺宏,35.30,5.1,110,5.43,1.27,111/3
2338,光罩,91.50,2.19,110,64.44,4.96,111/3
2340,台亞,36.55,8.21,110,29.96,1.86,111/3
2342,茂矽,40.60,1.23,110,10.88,2.32,111/3
2344,華邦電,21.15,4.73,110,5.07,0.92,111/3
2345,智邦,258.00,2.33,110,19.59,7.93,111/3
2347,聯強,59.90,8.35,110,6.12,1.45,111/3
2348,海悅,65.80,12.16,110,8.38,1.72,111/3
2349,錸德,8.13,0.0,110,-,0.95,111/3
2351,順德,104.00,2.88,110,19.05,2.93,111/3
2352,佳世達,27.70,9.03,110,6.14,1.33,111/3
2353,宏��,23.40,9.74,110,8.70,1.06,111/3
2354,鴻準,53.70,3.17,110,17.72,0.74,111/3
2355,敬鵬,30.85,1.62,110,39.05,0.78,111/3
2356,英業達,25.15,5.57,110,14.54,1.53,111/3
2357,華碩,273.00,15.38,110,6.63,0.94,111/3
2358,廷鑫,14.50,1.86,110,20.42,1.0,111/3
2359,所羅門,27.10,3.32,110,8.39,0.94,111/3
2360,致茂,180.00,3.88,110,15.57,3.7,111/3
2362,藍天,31.20,6.73,110,14.38,0.43,111/3
2363,矽統,17.05,10.56,110,24.71,0.93,111/3
2364,倫飛,111.50,0.9,110,35.85,8.35,111/3
2365,昆盈,10.00,2.0,110,28.57,0.76,111/3
2367,燿華,18.35,0.0,110,39.04,1.1,111/3
2368,金像電,97.00,2.27,110,10.61,3.51,111/3
2369,菱生,13.85,9.31,110,10.91,0.92,111/3
2371,大同,34.85,0.0,110,7.10,1.65,111/3
2373,震旦行,78.50,7.64,110,13.19,2.41,111/3
2374,佳能,21.60,4.63,110,36.61,0.98,111/3
2375,凱美,60.40,3.31,110,8.35,0.72,111/3
2376,技嘉,107.00,11.21,110,7.62,1.96,111/3
2377,微星,122.50,8.57,110,7.78,2.16,111/3
2379,瑞昱,301.50,8.96,110,8.28,3.32,111/3
2380,虹光,12.30,0.0,110,-,2.31,111/3
2382,廣達,72.80,9.07,110,9.59,1.71,111/3
2383,台光電,189.00,5.29,110,12.09,3.0,111/3
2385,群光,84.10,7.25,110,8.25,1.72,111/3
2387,精元,40.95,7.33,110,6.02,0.9,111/3
2388,威盛,74.50,1.34,110,12.19,2.79,111/3
2390,云辰,13.75,7.27,110,-,0.96,111/3
2392,正崴,38.35,3.91,110,12.87,0.76,111/3
2393,億光,38.50,9.09,110,11.03,0.93,111/3
2395,研華,340.00,2.35,110,25.22,6.42,111/3
2397,友通,59.30,6.07,110,8.39,2.17,111/3
2399,映泰,14.45,8.3,110,18.06,1.13,111/3
2401,凌陽,24.90,8.03,110,20.24,1.56,111/3
2402,毅嘉,19.05,2.62,110,20.71,0.94,111/3
2404,漢唐,182.00,7.21,110,9.00,3.61,111/3
2405,輔信,12.60,0.0,110,17.03,1.17,111/3
2406,國碩,20.40,0.0,110,-,1.6,111/3
2408,南亞科,55.50,6.67,110,7.74,0.94,111/3
2409,友達,15.75,6.35,110,-,0.61,111/3
2412,中華電,111.50,4.13,110,23.57,2.33,111/3
2413,環科,28.60,0.0,110,15.71,1.86,111/3
2414,精技,30.45,9.2,110,9.14,1.64,111/3
2415,錩新,22.85,9.19,110,35.70,1.19,111/3
2417,圓剛,23.60,0.64,110,84.29,1.09,111/3
2419,仲琦,26.15,1.91,110,22.54,1.6,111/3
2420,新巨,39.90,7.52,110,8.87,1.73,111/3
2421,建準,46.00,2.61,110,11.73,2.34,111/3
2423,固緯,27.30,5.49,110,10.15,1.57,111/3
2424,隴華,20.65,0.0,110,-,3.78,111/3
2425,承啟,30.00,2.0,110,7.61,1.43,111/3
2426,鼎元,17.95,5.57,110,13.40,1.34,111/3
2427,三商電,11.95,2.93,110,9.96,0.93,111/3
2428,興勤,124.50,5.06,110,10.20,1.82,111/3
2429,銘旺科,10.75,0.0,110,-,1.8,111/3
2430,燦坤,42.00,8.43,110,7.36,1.07,111/3
2431,聯昌,10.20,4.41,110,-,0.79,111/3
2433,互盛電,48.30,7.25,110,12.51,1.76,111/3
2434,統懋,29.10,0.0,110,-,2.03,111/3
2436,偉詮電,45.05,6.66,110,24.75,2.55,111/3
2438,翔耀,13.65,0.0,110,-,1.42,111/3
2439,美律,81.00,4.9,110,10.84,1.47,111/3
2440,太空梭,12.65,0.0,110,-,1.25,111/3
2441,超豐,48.50,10.31,110,6.83,1.34,111/3
2442,新美齊,13.75,5.24,110,23.71,0.92,111/3
2443,昶虹,2.77,0.0,110,-,1.31,111/3
2444,兆勁,19.00,0.0,110,18.45,2.02,111/3
2449,京元電子,36.45,8.23,110,6.39,1.3,111/3
2450,神腦,31.05,6.44,110,11.99,1.31,111/3
2451,創見,66.90,8.97,110,9.91,1.48,111/3
2453,凌群,25.35,7.5,110,10.61,1.31,111/3
2454,聯發科,718.00,10.17,110,8.81,2.69,111/3
2455,全新,72.80,5.49,110,19.26,4.42,111/3
2457,飛宏,39.70,0.0,110,-,2.37,111/3
2458,義隆,90.50,15.26,110,7.52,2.96,111/3
2459,敦吉,52.20,6.7,110,9.70,1.08,111/3
2460,建通,17.80,1.69,110,-,1.22,111/3
2461,光群雷,18.80,9.2,110,13.15,1.04,111/3
2462,良得電,27.85,2.15,110,39.79,1.53,111/3
2464,盟立,39.40,5.58,110,12.96,1.78,111/3
2465,麗臺,40.20,4.98,110,-,3.91,111/3
2466,冠西電,33.00,0.0,110,43.42,2.72,111/3
2467,志聖,43.85,7.53,110,9.17,2.25,111/3
2468,華經,28.20,1.42,110,33.57,1.68,111/3
2471,資通,27.60,8.12,110,8.12,1.6,111/3
2472,立隆電,56.90,5.62,110,7.15,1.4,111/3
2474,可成,175.50,5.82,110,8.96,0.74,111/3
2476,鉅祥,48.90,4.25,110,10.99,1.64,111/3
2477,美隆電,20.25,7.41,110,25.31,0.77,111/3
2478,大毅,45.50,8.79,110,8.46,1.01,111/3
2480,敦陽科,83.00,6.77,110,11.64,3.02,111/3
