Unnamed: 0,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
 ,6670  ,復盛應用        ,0,"39,100","-39,100"
 ,2504  ,國產            ,0,"38,198","-38,198"
 ,6757  ,台灣虎航        ,0,"38,000","-38,000"
 ,1722  ,台肥            ,0,"34,000","-34,000"
 ,2376  ,技嘉            ,"14,000","48,000","-34,000"
 ,8112  ,至上            ,0,"32,073","-32,073"
 ,3042  ,晶技            ,0,"30,000","-30,000"
 ,6442  ,光聖            ,0,"30,000","-30,000"
 ,6782  ,視陽            ,0,"30,000","-30,000"
 ,4572  ,駐龍            ,0,"29,000","-29,000"
 ,2606  ,裕民            ,0,"25,549","-25,549"
 ,1806  ,冠軍            ,0,"23,304","-23,304"
 ,3005  ,神基            ,"2,000","23,000","-21,000"
 ,6592B ,和潤企業乙特    ,0,"21,000","-21,000"
 ,2371  ,大同            ,"66,000","84,000","-18,000"
 ,4766  ,南寶            ,0,"18,000","-18,000"
 ,1434  ,福懋            ,0,"16,000","-16,000"
 ,9917  ,中保科          ,"16,000","32,000","-16,000"
 ,6472  ,保瑞            ,0,"15,179","-15,179"
 ,1904  ,正隆            ,0,"14,885","-14,885"
 ,2520  ,冠德            ,0,"11,000","-11,000"
 ,6176  ,瑞儀            ,"20,000","29,461","-9,461"
 ,1532  ,勤美            ,0,"7,891","-7,891"
 ,2889  ,國票金          ,0,"7,000","-7,000"
 ,6505  ,台塑化          ,0,"6,470","-6,470"
 ,5880  ,合庫金          ,0,"6,000","-6,000"
 ,1522  ,堤維西          ,0,"5,998","-5,998"
 ,4532  ,瑞智            ,0,"5,701","-5,701"
 ,8016  ,矽創            ,0,"5,668","-5,668"
 ,2204  ,中華            ,0,"5,659","-5,659"
 ,4906  ,正文            ,0,"5,424","-5,424"
 ,2637  ,慧洋-KY         ,0,"5,242","-5,242"
 ,6691  ,洋基工程        ,0,"5,000","-5,000"
 ,6906  ,現觀科          ,0,"5,000","-5,000"
 ,2539  ,櫻花建          ,0,"4,984","-4,984"
 ,2458  ,義隆            ,0,"4,547","-4,547"
 ,3033  ,威健            ,0,"4,278","-4,278"
 ,2355  ,敬鵬            ,0,"4,066","-4,066"
 ,3023  ,信邦            ,"9,000","13,000","-4,000"
 ,3406  ,玉晶光          ,"1,000","5,000","-4,000"
 ,8163  ,達方            ,0,"3,853","-3,853"
 ,1702  ,南僑            ,0,"3,577","-3,577"
 ,2059  ,川湖            ,"12,500","16,000","-3,500"
 ,3008  ,大立光          ,"1,000","4,111","-3,111"
 ,6689  ,伊雲谷          ,0,"3,012","-3,012"
 ,3533  ,嘉澤            ,0,"3,000","-3,000"
 ,3209  ,全科            ,0,"2,993","-2,993"
 ,3014  ,聯陽            ,0,"2,513","-2,513"
 ,2852  ,第一保          ,0,"2,278","-2,278"
 ,6214  ,精誠            ,0,"2,259","-2,259"
 ,2451  ,創見            ,0,"2,145","-2,145"
 ,9910  ,豐泰            ,0,"2,119","-2,119"
 ,3653  ,健策            ,"3,000","5,002","-2,002"
 ,1503  ,士電            ,0,"2,000","-2,000"
 ,6414  ,樺漢            ,0,"2,000","-2,000"
 ,6531  ,愛普*           ,0,"2,000","-2,000"
 ,6789  ,采鈺            ,0,"2,000","-2,000"
 ,3090  ,日電貿          ,0,"1,840","-1,840"
 ,1319  ,東陽            ,0,"1,526","-1,526"
 ,6412  ,群電            ,0,"1,418","-1,418"
 ,2211  ,長榮鋼          ,0,"1,343","-1,343"
 ,6206  ,飛捷            ,0,"1,305","-1,305"
 ,6873  ,泓德能源        ,0,"1,193","-1,193"
 ,2105  ,正新            ,"59,000","60,105","-1,105"
 ,2727  ,王品            ,0,"1,049","-1,049"
 ,4720  ,德淵            ,0,"1,014","-1,014"
 ,1560  ,中砂            ,"3,000","4,000","-1,000"
 ,2834  ,臺企銀          ,0,"1,000","-1,000"
 ,3038  ,全台            ,0,969,-969
 ,9924  ,福興            ,0,893,-893
 ,2527  ,宏璟            ,0,654,-654
 ,1476  ,儒鴻            ,0,620,-620
 ,1519  ,華城            ,0,562,-562
 ,1558  ,伸興            ,0,388,-388
 ,6754  ,匯僑設計        ,0,140,-140
 ,2395  ,研華            ,"11,000","11,000",0
說明:,,,,,
投信表示本國投資信託基金。,,,,,
＊表示該證券今日有鉅額交易。,,,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,
