證券代號,證券名稱,外資買進股數,外資賣出股數,外資買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
"=""053882""",偉詮電富邦46購02,0,0,0,0,0,0,"-335,000",0,0,0,"184,000","519,000","-335,000","-335,000"
"=""052397""",台灣50元大43購35,0,0,0,0,0,0,"-335,000",0,0,0,"401,000","736,000","-335,000","-335,000"
"=""052243""",台積電國泰46購01,0,0,0,0,0,0,"-336,000",0,0,0,"134,000","470,000","-336,000","-336,000"
"=""054153""",鴻海永豐44購10  ,0,0,0,0,0,0,"-336,000",0,0,0,"254,000","590,000","-336,000","-336,000"
"=""053810""",陽明國票45購04  ,0,0,0,0,0,0,"-336,000",0,0,0,"20,000","356,000","-336,000","-336,000"
"=""051707""",乙盛永豐43購01  ,0,0,0,0,0,0,"-336,000",0,0,0,"143,000","479,000","-336,000","-336,000"
"=""052765""",萬海凱基46購01  ,0,0,0,0,0,0,"-337,000",0,0,0,"187,000","524,000","-337,000","-337,000"
"=""054548""",大銀中信44購02  ,0,0,0,0,0,0,"-337,000",0,0,0,"112,000","449,000","-337,000","-337,000"
"=""055387""",精成科凱基44購01,0,0,0,0,0,0,"-337,000",0,0,0,0,"337,000","-337,000","-337,000"
"=""053207""",貿聯元富44購02  ,0,"10,000","-10,000",0,0,0,"-328,000",0,0,0,"711,000","1,039,000","-328,000","-338,000"
"=""052834""",陽明元大44購06  ,0,0,0,0,0,0,"-341,000",0,0,0,"56,000","397,000","-341,000","-341,000"
"=""055685""",力成群益48購01  ,0,0,0,0,0,0,"-342,000",0,0,0,0,"342,000","-342,000","-342,000"
"=""053816""",奇鋐國票45購01  ,0,0,0,0,0,0,"-342,000",0,0,0,0,"342,000","-342,000","-342,000"
"=""052073""",燿華永豐45購01  ,0,0,0,0,0,0,"-342,000",0,0,0,"10,000","352,000","-342,000","-342,000"
"=""054162""",迅得永豐47購01  ,0,0,0,0,0,0,"-343,000",0,0,0,"31,000","374,000","-343,000","-343,000"
"=""051400""",香港2X中信45購01,0,0,0,0,0,0,"-343,000",0,0,0,"74,000","417,000","-343,000","-343,000"
"=""055057""",滬深2X群益44購13,0,0,0,0,0,0,"-343,000",0,0,0,0,"343,000","-343,000","-343,000"
9933,中鼎            ,"428,000","644,702","-216,702",0,"130,000","-130,000","3,000","11,000","8,000","3,000",0,0,0,"-343,702"
"=""054524""",威盛富邦44購01  ,0,0,0,0,0,0,"-344,000",0,0,0,"318,000","662,000","-344,000","-344,000"
"=""053848""",中租元富44購01  ,0,0,0,0,0,0,"-344,000",0,0,0,"89,000","433,000","-344,000","-344,000"
"=""052662""",智原永豐45購02  ,0,0,0,0,0,0,"-347,000",0,0,0,"40,000","387,000","-347,000","-347,000"
8016,矽創            ,"38,000","367,618","-329,618",0,0,0,"-18,000","1,000",0,"1,000",0,"19,000","-19,000","-347,618"
"=""05200P""",蔚華科國票46售02,0,0,0,0,0,0,"-348,000",0,0,0,"50,000","398,000","-348,000","-348,000"
"=""055736""",志聖元大44購04  ,0,0,0,0,0,0,"-351,000",0,0,0,"712,000","1,063,000","-351,000","-351,000"
"=""055379""",一詮凱基49購01  ,0,0,0,0,0,0,"-352,000",0,0,0,"168,000","520,000","-352,000","-352,000"
"=""050384""",聯電中信43購01  ,0,0,0,0,0,0,"-352,000",0,0,0,"235,000","587,000","-352,000","-352,000"
"=""06231P""",創意國票47售06  ,0,0,0,0,0,0,"-352,000",0,0,0,"466,000","818,000","-352,000","-352,000"
"=""06639P""",台積電群益47售34,0,0,0,0,0,0,"-354,000",0,0,0,"9,000","363,000","-354,000","-354,000"
"=""054225""",奇鋐凱基44購07  ,0,0,0,0,0,0,"-354,000",0,0,0,"90,000","444,000","-354,000","-354,000"
"=""07044P""",智原國票49售02  ,0,0,0,0,0,0,"-355,000",0,0,0,"31,000","386,000","-355,000","-355,000"
"=""07513P""",元黃金國票59售01,0,0,0,0,0,0,"-356,000",0,0,0,0,"356,000","-356,000","-356,000"
"=""055475""",鴻海元大44購32  ,0,0,0,0,0,0,"-356,000",0,0,0,"243,000","599,000","-356,000","-356,000"
"=""052348""",偉詮電永豐46購01,0,0,0,0,0,0,"-357,000",0,0,0,"101,000","458,000","-357,000","-357,000"
1227,佳格            ,"228,000","527,628","-299,628",0,"60,000","-60,000","2,000","4,000","2,000","2,000",0,0,0,"-357,628"
"=""051406""",奇鋐永豐44購08  ,0,0,0,0,0,0,"-358,000",0,0,0,"174,000","532,000","-358,000","-358,000"
"=""051957""",嘉基永豐44購01  ,0,0,0,0,0,0,"-358,000",0,0,0,"227,000","585,000","-358,000","-358,000"
"=""049479""",長榮國票44購03  ,0,0,0,0,0,0,"-359,000",0,0,0,"231,000","590,000","-359,000","-359,000"
"=""053050""",拓凱元大44購01  ,0,0,0,0,0,0,"-359,000",0,0,0,"17,000","376,000","-359,000","-359,000"
"=""06233P""",T50正2中信4A售01,0,0,0,0,0,0,"-359,000",0,0,0,"57,000","416,000","-359,000","-359,000"
"=""055237""",一詮凱基46購01  ,0,0,0,0,0,0,"-360,000",0,0,0,0,"360,000","-360,000","-360,000"
"=""07189P""",大成鋼凱基48售03,0,0,0,0,0,0,"-364,000",0,0,0,"759,000","1,123,000","-364,000","-364,000"
"=""07138P""",聯發科元大48售10,0,0,0,0,0,0,"-366,000",0,0,0,"3,000","369,000","-366,000","-366,000"
"=""055651""",台亞群益44購01  ,0,0,0,0,0,0,"-366,000",0,0,0,"50,000","416,000","-366,000","-366,000"
"=""053213""",滬深2X富邦4A購01,0,0,0,0,0,0,"-367,000",0,0,0,"32,000","399,000","-367,000","-367,000"
"=""052911""",迅得國票45購01  ,0,0,0,0,0,0,"-367,000",0,0,0,"1,076,000","1,443,000","-367,000","-367,000"
"=""07129P""",聯發科凱基48售11,0,0,0,0,0,0,"-369,000",0,0,0,"25,000","394,000","-369,000","-369,000"
"=""06220P""",臺股指法興46售20,0,0,0,0,0,0,"-369,000",0,0,0,"314,000","683,000","-369,000","-369,000"
"=""053363""",嘉澤統一4A購01  ,0,0,0,0,0,0,"-370,000",0,0,0,"282,000","652,000","-370,000","-370,000"
"=""050698""",美債2X凱基48購03,0,0,0,0,0,0,"-370,000",0,0,0,"30,000","400,000","-370,000","-370,000"
"=""053735""",南電統一4A購01  ,0,0,0,0,0,0,"-371,000",0,0,0,"40,000","411,000","-371,000","-371,000"
"=""055745""",世芯元大44購19  ,0,0,0,0,0,0,"-373,000",0,0,0,"15,000","388,000","-373,000","-373,000"
"=""06412P""",友訊群益4C售01  ,0,0,0,0,0,0,"-374,000",0,0,0,0,"374,000","-374,000","-374,000"
"=""06687P""",世芯凱基47售11  ,0,0,0,0,0,0,"-374,000",0,0,0,"170,000","544,000","-374,000","-374,000"
"=""06722P""",大立光群益49售03,0,0,0,0,0,0,"-377,000",0,0,0,"307,000","684,000","-377,000","-377,000"
"=""051135""",碩天凱基43購07  ,0,0,0,0,0,0,"-378,000",0,0,0,"313,000","691,000","-378,000","-378,000"
"=""051252""",佳必琪富邦47購01,0,0,0,0,0,0,"-379,000",0,0,0,"129,000","508,000","-379,000","-379,000"
"=""054293""",訊芯元大44購03  ,0,0,0,0,0,0,"-379,000",0,0,0,"437,000","816,000","-379,000","-379,000"
"=""054472""",致茂元大46購01  ,0,0,0,0,0,0,"-381,000",0,0,0,"338,000","719,000","-381,000","-381,000"
"=""06235P""",緯穎中信46售02  ,0,0,0,0,0,0,"-381,000",0,0,0,"314,000","695,000","-381,000","-381,000"
"=""053801""",川湖國票45購02  ,0,0,0,0,0,0,"-382,000",0,0,0,"124,000","506,000","-382,000","-382,000"
"=""07497P""",牧德凱基49售01  ,0,0,0,0,0,0,"-383,000",0,0,0,"484,000","867,000","-383,000","-383,000"
"=""054714""",矽統第一44購01  ,0,0,0,0,0,0,"-384,000",0,0,0,"37,000","421,000","-384,000","-384,000"
"=""052163""",富邦媒元大43購01,0,0,0,0,0,0,"-385,000",0,0,0,"99,000","484,000","-385,000","-385,000"
"=""054861""",威盛元大46購05  ,0,0,0,0,0,0,"-389,000",0,0,0,"46,000","435,000","-389,000","-389,000"
"=""052644""",京城銀中信44購01,0,0,0,0,0,0,"-390,000",0,0,0,"115,000","505,000","-390,000","-390,000"
"=""052658""",偉詮電永豐44購02,0,0,0,0,0,0,"-390,000",0,0,0,"213,000","603,000","-390,000","-390,000"
"=""050373""",京鼎元大44購02  ,0,0,0,0,0,0,"-391,000",0,0,0,"54,000","445,000","-391,000","-391,000"
"=""07045P""",健策國票49售04  ,0,0,0,0,0,0,"-397,000",0,0,0,"3,000","400,000","-397,000","-397,000"
"=""052396""",臺股指群益43購32,0,0,0,0,0,0,"-398,000",0,0,0,"100,000","498,000","-398,000","-398,000"
"=""051360""",世紀鋼凱基47購02,0,0,0,0,0,0,"-398,000",0,0,0,"6,000","404,000","-398,000","-398,000"
"=""050676""",上緯控國泰45購01,0,0,0,0,0,0,"-399,000",0,0,0,"104,000","503,000","-399,000","-399,000"
"=""051682""",材料凱基43購11  ,0,0,0,0,0,0,"-399,000",0,0,0,"512,000","911,000","-399,000","-399,000"
"=""053236""",華城元大47購01  ,0,0,0,0,0,0,"-399,000",0,0,0,"343,000","742,000","-399,000","-399,000"
"=""052324""",威盛統一4C購02  ,0,0,0,0,0,0,"-400,000",0,0,0,0,"400,000","-400,000","-400,000"
"=""055281""",香港2X元大44購03,0,0,0,0,0,0,"-400,000",0,0,0,0,"400,000","-400,000","-400,000"
"=""050990""",潤泰全國票44購01,0,0,0,0,0,0,"-400,000",0,0,0,0,"400,000","-400,000","-400,000"
"=""051655""",義隆群益45購01  ,0,0,0,0,0,0,"-400,000",0,0,0,"1,103,000","1,503,000","-400,000","-400,000"
"=""052622""",中502X國票45購02,0,0,0,0,0,0,"-400,000",0,0,0,0,"400,000","-400,000","-400,000"
"=""052538""",陽明群益46購02  ,0,0,0,0,0,0,"-400,000",0,0,0,0,"400,000","-400,000","-400,000"
"=""07342P""",臺股指群益48售25,0,0,0,0,0,0,"-400,000",0,0,0,"100,000","500,000","-400,000","-400,000"
"=""07343P""",臺股指群益48售26,0,0,0,0,0,0,"-400,000",0,0,0,0,"400,000","-400,000","-400,000"
"=""055209""",道瓊銀永豐46購01,0,0,0,0,0,0,"-401,000",0,0,0,"141,000","542,000","-401,000","-401,000"
"=""054725""",台積電台新45購01,0,0,0,0,0,0,"-402,000",0,0,0,"509,000","911,000","-402,000","-402,000"
"=""051852""",正崴元大45購02  ,0,0,0,0,0,0,"-402,000",0,0,0,"324,000","726,000","-402,000","-402,000"
"=""053664""",滬深2X元富5A購01,0,0,0,0,0,0,"-402,000",0,0,0,"61,000","463,000","-402,000","-402,000"
