證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
2364,倫飛,86.30,2.9,111,24.31,5.87,112/1
2365,昆盈,11.25,1.78,111,38.79,0.84,112/1
2367,燿華,17.00,1.76,111,43.59,1.12,112/1
2368,金像電,168.00,2.08,111,19.53,6.26,112/1
2369,菱生,18.75,1.6,111,-,1.25,112/1
2371,大同,50.30,0.0,111,12.54,2.26,112/1
2373,震旦行,76.00,6.18,111,13.29,2.55,112/1
2374,佳能,20.10,2.24,111,64.84,0.93,112/1
2375,凱美,62.20,2.41,111,18.35,0.77,112/1
2376,技嘉,336.50,1.84,111,47.60,5.76,112/1
2377,微星,189.00,3.49,111,20.84,3.52,112/1
2379,瑞昱,415.00,6.51,111,16.61,4.43,112/1
2380,虹光,10.20,0.0,111,-,1.99,112/1
2382,廣達,242.00,2.48,111,32.53,6.1,112/1
2383,台光電,440.00,1.93,111,35.31,7.22,112/2
2385,群光,105.50,7.11,111,10.74,2.24,112/2
2387,精元,42.60,8.22,111,6.77,0.91,112/1
2388,威盛,117.00,0.13,111,-,4.53,112/1
2390,云辰,12.75,0.0,111,-,0.96,112/1
2392,正崴,38.75,5.68,111,21.17,0.81,112/1
2393,億光,48.75,5.13,111,17.60,1.15,112/1
2395,研華,357.50,3.07,111,23.82,6.52,112/2
2397,友通,71.60,5.59,111,14.85,2.7,112/2
2399,映泰,23.90,0.0,111,"2,390.00",1.87,112/1
2401,凌陽,30.70,1.95,111,-,1.96,112/1
2402,毅嘉,37.40,2.67,111,32.81,1.91,112/1
2404,漢唐,234.00,6.41,111,9.55,5.11,112/1
2405,輔信,15.25,1.31,111,305.00,1.43,112/2
2406,國碩,16.50,0.0,111,-,1.35,112/1
2408,南亞科,70.00,3.04,111,-,1.26,112/2
2409,友達,20.40,3.92,111,-,0.93,112/1
2412,中華電,116.00,4.05,111,24.27,2.3,112/1
2413,環科,32.00,1.56,111,14.81,1.95,112/1
2414,精技,33.60,7.44,111,12.87,1.9,112/2
2415,錩新,28.70,2.26,111,-,1.59,112/1
2417,圓剛,21.05,0.95,111,-,0.99,112/1
2419,仲琦,39.90,3.76,111,42.00,2.58,112/2
2420,新巨,46.95,7.45,111,10.77,1.89,112/1
2421,建準,139.00,1.87,111,25.93,6.36,112/2
2423,固緯,34.85,5.74,111,12.91,2.08,112/1
2424,隴華,43.95,0.0,111,-,8.29,112/1
2425,承啟,53.60,1.49,111,18.11,2.46,112/1
2426,鼎元,19.20,0.0,111,-,1.49,112/2
2427,三商電,27.35,1.28,111,23.78,1.99,112/1
2428,興勤,178.50,3.03,111,17.90,2.5,112/1
2429,銘旺科,18.90,0.0,111,-,3.55,112/1
2430,燦坤,41.10,9.73,111,12.02,1.09,112/2
2431,聯昌,11.15,0.9,111,278.75,0.86,112/1
2432,倚天酷��-創,46.40,3.56,111,23.79,2.66,112/2
2433,互盛電,50.70,7.1,111,13.27,2.05,112/1
2434,統懋,30.75,0.0,111,-,2.33,112/1
2436,偉詮電,58.70,2.04,111,112.88,3.31,112/2
2438,翔耀,22.85,0.0,111,-,2.45,112/1
2439,美律,90.10,4.99,111,14.30,1.69,112/2
2440,太空梭,13.50,0.0,111,-,1.37,112/1
2441,超豐,61.70,6.0,111,18.98,1.75,112/2
2442,新美齊,18.20,0.93,111,101.11,1.2,112/1
2443,昶虹,3.25,0.0,111,3.16,0.93,112/1
2444,兆勁,13.45,0.0,111,14.62,1.37,112/1
2449,京元電子,64.70,5.41,111,12.76,2.09,112/1
2450,神腦,36.25,6.07,111,12.76,1.53,112/2
2451,創見,71.90,7.79,111,26.53,1.73,112/2
2453,凌群,61.70,3.57,111,23.20,2.89,112/1
2454,聯發科,706.00,10.77,111,11.05,3.34,112/1
2455,全新,128.00,1.8,111,90.78,8.53,112/2
2457,飛宏,65.20,0.0,111,125.38,3.91,112/1
2458,義隆,117.00,5.25,111,20.07,4.47,112/1
2459,敦吉,57.40,6.62,111,10.57,1.23,112/1
2460,建通,23.30,0.0,111,-,1.69,112/1
2461,光群雷,26.70,6.67,111,17.01,1.54,112/1
2462,良得電,38.45,1.56,111,25.46,2.03,112/1
2464,盟立,43.00,4.19,111,23.50,2.1,112/1
2465,麗臺,36.00,0.0,111,-,5.68,112/2
2466,冠西電,37.40,0.51,111,86.98,3.31,112/1
2467,志聖,47.60,7.56,111,10.77,2.56,112/1
2468,華經,30.20,1.99,111,32.13,1.75,112/1
2471,資通,53.10,5.33,111,19.10,2.85,112/1
2472,立隆電,60.90,5.75,111,8.86,1.43,112/1
2474,可成,176.50,5.67,111,11.22,0.75,112/2
2476,鉅祥,50.20,4.58,111,12.74,1.72,112/2
2477,美隆電,20.55,3.89,111,64.22,0.85,112/1
2478,大毅,45.40,4.41,111,16.27,1.04,112/2
2480,敦陽科,120.00,5.22,111,16.26,4.44,112/2
2481,強茂,72.90,4.12,111,21.83,2.21,112/1
2482,連宇,57.00,2.63,111,17.87,3.58,112/1
2483,百容,24.60,4.07,111,34.17,1.07,112/2
2484,希華,35.15,6.26,111,10.75,1.47,112/2
2485,兆赫,20.25,0.0,111,253.13,1.05,112/1
2486,一詮,45.90,0.87,111,106.74,2.47,112/1
2488,漢平,35.25,7.09,111,8.97,1.19,112/1
2489,瑞軒,12.70,0.0,111,10.50,0.7,112/2
2491,吉祥全,15.00,0.0,111,-,1.5,112/1
2492,華新科,92.70,2.59,111,42.33,0.99,112/1
2493,揚博,62.10,6.44,111,11.42,2.86,112/1
2495,普安,21.80,2.75,111,25.35,1.42,112/1
2496,卓越,51.90,6.36,111,12.13,1.29,112/1
2497,怡利電,70.50,0.99,111,26.31,4.12,112/1
2498,宏達電,52.30,0.0,111,-,1.72,112/1
2501,國建,15.80,3.16,111,11.70,0.74,112/1
2504,國產,27.65,7.23,111,11.24,1.34,112/1
2505,國揚,19.00,0.0,111,21.11,0.74,112/1
2506,太設,9.26,3.24,111,4.98,0.46,112/1
2509,全坤建,15.10,0.0,111,-,0.81,112/1
2511,太子,11.45,4.37,111,15.47,0.72,112/1
2514,龍邦,16.50,0.0,111,22.92,0.55,112/1
2515,中工,10.25,5.17,111,32.03,0.69,112/1
2516,新建,5.25,0.0,111,-,0.84,112/1
2520,冠德,32.05,5.46,111,8.76,0.91,112/1
2524,京城,30.85,0.0,111,13.65,0.66,112/1
2527,宏璟,23.85,4.19,111,45.87,0.62,112/1
2528,皇普,27.55,1.81,111,23.35,1.97,112/1
2530,華建,26.25,1.56,111,53.57,2.22,112/1
2534,宏盛,20.10,8.71,111,4.95,0.62,112/1
2535,達欣工,32.30,7.74,111,8.95,1.21,112/1
2536,宏普,26.00,1.92,111,-,0.77,112/2
2537,聯上發,7.23,0.0,111,-,0.53,112/1
2538,基泰,12.40,4.03,111,7.17,0.84,112/1
2539,櫻花建,49.10,3.67,111,17.92,3.46,112/1
2540,愛山林,93.70,4.27,111,52.06,3.39,112/1
2542,興富發,42.80,3.5,111,18.53,1.56,112/1
2543,皇昌,9.69,3.1,111,9.32,0.88,112/1
2545,皇翔,39.90,11.53,111,16.15,1.07,112/1
2546,根基,71.40,6.3,111,7.78,1.91,112/1
2547,日勝生,9.06,0.0,111,-,0.74,112/1
2548,華固,91.60,8.19,111,14.89,1.36,112/2
2597,潤弘,103.50,9.66,111,9.58,3.07,112/1
2601,益航,8.74,0.0,111,-,0.68,112/1
2603,長榮,106.50,65.73,111,0.95,0.41,112/1
2605,新興,18.95,2.64,111,33.84,0.72,112/1
2606,裕民,43.15,6.95,111,8.99,1.11,112/1
2607,榮運,28.55,4.38,111,9.18,1.01,112/1
2608,嘉里大榮,36.10,4.57,111,13.88,1.43,112/1
2609,陽明,46.40,43.1,111,1.31,0.47,112/1
2610,華航,24.45,1.88,111,135.83,2.05,112/1
2611,志信,12.75,0.0,111,-,0.97,112/1
2612,中航,41.20,5.29,111,10.81,0.72,112/1
2613,中櫃,20.65,5.08,111,33.85,0.93,112/1
2614,東森,17.25,0.0,111,-,2.28,112/1
2615,萬海,50.50,9.9,111,2.81,0.64,112/1
2616,山隆,31.50,5.08,111,15.67,0.87,112/1
2617,台航,27.50,8.0,111,11.27,0.76,112/2
2618,長榮航,35.05,2.28,111,22.76,2.1,112/1
2630,亞航,35.30,1.02,111,185.79,3.06,112/1
2633,台灣高鐵,29.90,2.24,111,31.47,2.42,112/1
2634,漢翔,57.20,1.89,111,25.42,3.33,112/2
