Unnamed: 0,Unnamed: 1,自營商(自行買賣),Unnamed: 3,Unnamed: 4,自營商(避險),Unnamed: 6,Unnamed: 7,自營商,Unnamed: 9,Unnamed: 10
證券代號,證券名稱,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數,買進股數,賣出股數,買賣超股數
"=""068247""",華南金國票49購01,0,0,0,"104,000","1,000","103,000","104,000","1,000","103,000"
"=""069928""",亞翔元大4C購02  ,0,0,0,"110,000","7,000","103,000","110,000","7,000","103,000"
"=""072340""",京城統一51購01  ,0,0,0,"103,000",0,"103,000","103,000",0,"103,000"
"=""072554""",鴻海凱基52購01  ,0,0,0,"603,000","500,000","103,000","603,000","500,000","103,000"
"=""075159""",智邦凱基49購05  ,0,0,0,"103,000",0,"103,000","103,000",0,"103,000"
"=""082684""",臺股指富邦4C購13,0,0,0,"264,000","161,000","103,000","264,000","161,000","103,000"
"=""0055  """,元大MSCI金融    ,0,0,0,"120,375","18,000","102,375","120,375","18,000","102,375"
"=""072839""",中鴻凱基49購02  ,0,0,0,"103,000","1,000","102,000","103,000","1,000","102,000"
"=""075179""",長榮元富43購01  ,0,0,0,"104,000","2,000","102,000","104,000","2,000","102,000"
"=""077328""",京城銀群益4B購01,0,0,0,"105,000","3,000","102,000","105,000","3,000","102,000"
"=""079905""",上銀群益4B購03  ,0,0,0,"102,000",0,"102,000","102,000",0,"102,000"
"=""080274""",晟銘電富邦51購01,0,0,0,"102,000",0,"102,000","102,000",0,"102,000"
"=""081487""",京元電統一55購02,0,0,0,"210,000","108,000","102,000","210,000","108,000","102,000"
"=""00897 """,富邦基因免疫生技,0,0,0,"913,429","812,000","101,429","913,429","812,000","101,429"
"=""020032""",元大綠能N       ,0,0,0,"122,000","21,000","101,000","122,000","21,000","101,000"
"=""05165P""",臺股指凱基44售35,0,0,0,"114,000","13,000","101,000","114,000","13,000","101,000"
"=""057247""",創意元富45購04  ,0,0,0,"101,000",0,"101,000","101,000",0,"101,000"
"=""064669""",鴻海元大46購41  ,0,0,0,"120,000","19,000","101,000","120,000","19,000","101,000"
"=""068545""",台積電兆豐4A購01,0,0,0,"101,000",0,"101,000","101,000",0,"101,000"
"=""069042""",臺指反凱基52購01,0,0,0,"130,000","29,000","101,000","130,000","29,000","101,000"
"=""070151""",義隆富邦48購01  ,0,0,0,"101,000",0,"101,000","101,000",0,"101,000"
"=""072397""",訊芯國票49購06  ,0,0,0,"101,000",0,"101,000","101,000",0,"101,000"
"=""073361""",亞翔群益49購07  ,0,0,0,"101,000",0,"101,000","101,000",0,"101,000"
"=""074265""",中興電群益49購06,0,0,0,"101,000",0,"101,000","101,000",0,"101,000"
"=""074442""",大銀國泰4A購01  ,0,0,0,"101,000",0,"101,000","101,000",0,"101,000"
"=""07586P""",臺股指凱基4C售12,0,0,0,"119,000","18,000","101,000","119,000","18,000","101,000"
"=""081336""",金像電統一54購01,0,0,0,"110,000","9,000","101,000","110,000","9,000","101,000"
"=""081385""",萬海元大4B購04  ,0,0,0,"136,000","35,000","101,000","136,000","35,000","101,000"
"=""081653""",長榮國票51購02  ,0,0,0,"153,000","52,000","101,000","153,000","52,000","101,000"
"=""082673""",日電貿國票4C購01,0,0,0,"153,000","52,000","101,000","153,000","52,000","101,000"
"=""04670P""",陽明元富43售07  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""04783P""",亞德客凱基44售04,0,0,0,"110,000","10,000","100,000","110,000","10,000","100,000"
"=""051032""",健和興凱基43購03,0,0,0,"102,000","2,000","100,000","102,000","2,000","100,000"
"=""05444P""",鴻海富邦47售02  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""05505P""",緯創國票46售05  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""057435""",台積電中信4B購01,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""057438""",緯創中信45購03  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""058956""",臺股指群益45購27,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""05915P""",T50正2凱基46售05,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""059283""",乙盛永豐45購01  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""06044P""",智邦元大46售07  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""06202P""",欣興群益46售09  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""062122""",達發國泰48購01  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""062208""",T50反1元富46購04,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""063301""",鴻海永豐4A購03  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""065591""",美食國票48購01  ,0,0,0,"100,000",0,"100,000","100,000",0,"100,000"
"=""066404""",晟銘電國票4A購01,0,0,0,"105,000","5,000","100,000","105,000","5,000","100,000"
