104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比,104年07月27日 個股日本益比、殖利率及股價淨值比
證券代號,證券名稱,本益比,殖利率(%),股價淨值比
2377,微星,7.90,10.73,0.93
2379,瑞昱,9.09,8.75,1.53
2380,虹光,-,0.0,0.44
2382,廣達,13.66,6.31,1.8
2383,台光電,10.24,4.22,2.17
2385,群光,13.14,5.88,2.36
2387,精元,5.49,1.28,0.51
2388,威盛,-,0.0,1.86
2390,云辰,-,0.0,1.95
2392,正崴,12.75,4.55,0.87
2393,億光,8.82,8.44,1.14
2395,研華,25.89,2.95,5.52
2397,友通,13.37,6.63,1.47
2399,映泰,-,0.0,0.56
2401,凌陽,8.42,4.32,0.83
2402,毅嘉,9.28,9.65,0.93
2404,漢唐,9.57,8.24,1.26
2405,輔信,-,0.0,0.64
2406,國碩,-,0.0,1.08
2408,南亞科,2.66,6.42,1.57
2409,友達,4.68,4.57,0.57
2412,中華電,19.20,5.06,1.98
2413,環科,18.79,0.0,0.8
2414,精技,9.59,7.82,0.98
2415,錩新,6.12,9.13,0.64
2417,圓剛,-,1.0,0.61
2419,仲琦,29.32,4.7,0.82
2420,新巨,8.82,10.04,1.88
2421,建準,11.35,7.72,1.0
2423,固緯,11.79,6.06,1.08
2424,隴華,-,0.0,1.7
2425,承啟,12.33,1.81,1.32
2426,鼎元,9.07,7.69,0.95
2427,三商電,205.67,4.05,0.55
2428,興勤,7.94,5.56,1.12
2429,銘旺科,-,0.0,1.22
2430,燦坤,53.57,1.78,0.85
2431,聯昌,11.01,1.14,1.03
2433,互盛電,12.28,7.24,1.69
2434,統懋,-,0.0,0.62
2436,偉詮電,22.60,5.17,1.27
2437,旺詮,8.30,10.57,0.83
2438,翔耀,40.63,0.0,2.29
2439,美律,9.18,9.36,1.54
2440,太空梭,-,0.0,1.1
2441,超豐,7.54,9.43,1.22
2442,新美齊,7.88,4.23,0.54
2443,昶虹,-,0.0,0.88
2444,兆勁,24.21,3.62,1.24
2448,晶電,9.37,2.81,0.55
2449,京元電子,8.62,9.11,1.0
2450,神腦,24.97,3.11,2.11
2451,創見,11.36,8.06,1.94
2453,凌群,11.17,5.97,0.58
2454,聯發科,11.42,6.93,1.96
2455,全新,17.80,5.25,2.83
2456,奇力新,12.41,5.71,1.57
2457,飛宏,205.00,4.68,0.47
2458,義隆,9.41,11.44,1.65
2459,敦吉,8.29,7.67,0.78
2460,建通,14.29,2.37,0.46
2461,光群雷,25.28,2.56,0.76
2462,良得電,12.72,7.72,0.7
2464,盟立,12.54,5.64,1.51
2465,麗臺,19.91,0.0,1.57
2466,冠西電,-,0.0,2.84
2467,志聖,16.68,7.72,0.94
2468,華經,18.07,4.85,0.65
2471,資通,16.53,8.54,0.9
2472,立隆電,6.48,8.0,1.08
2474,可成,13.15,1.8,2.59
2475,華映,-,0.0,0.55
2476,鉅祥,10.18,7.44,0.81
2477,美隆電,-,8.89,0.81
2478,大毅,17.39,3.43,0.58
2480,敦陽科,12.33,7.87,1.19
2481,強茂,38.08,2.02,0.54
2482,連宇,-,0.0,1.2
2483,百容,9.83,8.81,0.69
2484,希華,7.42,7.17,0.78
2485,兆赫,20.32,4.67,1.42
2486,一詮,13.97,7.35,0.49
2488,漢平,10.56,6.53,1.14
2489,瑞軒,25.96,9.07,1.03
2491,吉祥全,3.55,0.0,1.35
2492,華新科,8.92,3.2,0.44
2493,揚博,6.88,13.9,1.02
2495,普安,18.60,4.3,0.94
2496,卓越,-,0.0,9.68
2497,怡利電,10.83,6.73,2.32
2498,宏達電,14.91,0.57,0.7
2499,東貝,21.21,5.42,0.85
2501,國建,5.58,6.51,0.96
2504,國產,16.93,4.38,0.56
2505,國揚,-,0.77,1.07
2506,太設,13.97,2.45,0.94
2509,全坤建,-,5.0,1.17
2511,太子,7.33,7.48,0.72
2514,龍邦,17.04,1.3,1.65
2515,中工,4.98,2.09,0.57
2516,新建,10.23,4.25,0.53
2520,冠德,4.90,11.11,0.75
2524,京城,10.00,4.05,0.86
2527,宏璟,5.10,8.33,0.61
2528,皇普,55.06,2.14,0.85
2530,華建,-,0.0,1.6
2534,宏盛,-,2.41,1.12
2535,達欣工,6.72,9.04,0.75
2536,宏普,4.99,8.95,0.66
2537,聯上發,10.23,11.24,0.64
2538,基泰,3.96,7.25,0.91
2539,櫻花建,8.09,8.06,2.22
2540,愛山林,32.82,0.0,1.38
2542,興富發,4.92,10.34,1.8
2543,皇昌,6.82,0.0,0.88
2545,皇翔,6.05,10.72,1.09
2546,根基,13.85,9.26,0.79
2547,日勝生,-,7.3,0.74
2548,華固,6.02,8.67,1.14
2597,潤弘,6.38,14.94,1.42
2601,益航,-,2.4,0.41
2603,長榮,12.02,1.32,0.84
2605,新興,16.31,4.35,0.81
2606,裕民,19.64,5.39,1.26
2607,榮運,20.86,2.4,0.74
2608,嘉里大榮,15.67,4.41,2.03
2609,陽明,14.54,0.0,0.93
2610,華航,19.37,0.0,1.41
2611,志信,17.36,4.35,0.61
